Type,Year,Spot,Start,Max,End
C1.1, 2016-02-05, 2496, 13:05:00, 13:11:00,
C1.1, 2016-02-04, 2490, 19:46:00, 19:55:00,
C1.1, 2016-02-04, 2490, 07:09:00, 07:13:00,
C1.1, 2016-02-03, 2493, 22:05:00, 22:10:00,
C1.1, 2016-01-21, 2484, 08:01:00, 08:13:00,
C1.1, 2016-01-15, 2480, 21:59:00, 22:03:00,
C1.1, 2015-12-30, 2473, 18:59:00, 19:05:00,
C1.1, 2015-12-25, 2473, 13:07:00, 13:14:00,
C1.1, 2015-12-21, 2470, 22:23:00, 22:26:00,
C1.1, 2015-12-19, 2469, 16:58:00, 17:10:00,
C1.1, 2015-12-12, 2470, 19:32:00, 19:45:00,
C1.1, 2015-12-07, 2465, 03:49:00, 04:19:00,
C1.1, 2015-12-06, 2463, 20:49:00, 21:08:00,
C1.1, 2015-11-21, 2457, 22:15:00, 22:21:00,
C1.1, 2015-11-17, 2454, 15:51:00, 15:54:00,
C1.1, 2015-11-10, 2443, 01:54:00, 01:59:00,
C1.1, 2015-11-04, 2443, 10:28:00, 10:32:00,
C1.1, 2015-11-04, 2443, 02:01:00, 02:18:00,
C1.1, 2015-11-01, 2443, 09:17:00, 09:21:00,
C1.1, 2015-10-29, 2443, 14:02:00, 14:06:00,
C1.1, 2015-10-29, 2443, 07:15:00, 07:18:00,
C1.1, 2015-10-29, 2440, 01:03:00, 01:25:00,
C1.1, 2015-10-21, 2436, 14:28:00, 14:31:00,
C1.1, 2015-10-20, 2437, 13:56:00, 13:59:00,
C1.1, 2015-10-16, 2434, 21:53:00, 21:58:00,
C1.1, 2015-10-16, 2434, 17:54:00, 17:59:00,
C1.1, 2015-10-15, 2434, 19:27:00, 19:32:00,
C1.1, 2015-10-15, 2434, 13:12:00, 13:25:00,
C1.1, 2015-10-15, 2434, 12:22:00, 12:28:00,
C1.1, 2015-10-15, 2434, 07:40:00, 07:46:00,
C1.1, 2015-10-03, 2422, 15:12:00, 15:20:00,
C1.1, 2015-10-03, 2420, 16:23:00, 16:44:00,
C1.0, 2017-05-28, 2659, 23:05:00, 23:13:00,
C1.0, 2017-04-05, 2645, 08:37:00, 09:37:00,
C1.0, 2017-04-04, 2645, 16:14:00, 16:17:00,
C1.0, 2017-04-02, 2645, 02:06:00, 02:10:00,
C1.0, 2017-03-28, 2645, 09:55:00, 10:01:00,
C1.0, 2017-01-21, 2628, 09:40:00, 09:46:00,
C1.0, 2016-11-30, 2615, 15:00:00, 15:07:00,
C1.0, 2016-09-29, 2597, 07:33:00, 07:48:00,
C1.0, 2016-08-30, 2585, 09:58:00, 10:06:00,
C1.0, 2016-08-28, 2583, 21:25:00, 21:28:00,
C1.0, 2016-08-07, 2572, 20:00:00, 20:11:00,
C1.0, 2016-07-24, 2567, 10:28:00, 10:32:00,
C1.0, 2016-07-23, 2567, 09:04:00, 09:11:00,
C1.0, 2016-07-21, 2567, 09:40:00, 09:44:00,
C1.0, 2016-07-19, 2565, 00:13:00, 00:22:00,
C1.0, 2016-07-17, 2565, 16:34:00, 17:10:00,
C1.0, 2016-07-16, 2567, 09:19:00, 09:45:00,
C1.0, 2016-07-16, 2567, 01:13:00, 01:19:00,
C1.0, 2016-05-30, 2550, 13:18:00, 13:24:00,
C1.0, 2016-05-26, 2546, 13:45:00, 13:51:00,
C1.0, 2016-05-21, 2546, 13:55:00, 14:00:00,
C1.0, 2016-05-16, 2544, 00:51:00, 00:58:00,
C1.0, 2016-04-19, 2529, 22:52:00, 23:02:00,
C1.0, 2016-04-11, 2529, 18:28:00, 18:34:00,
C1.0, 2016-03-15, 2521, 15:32:00, 15:38:00,
C1.0, 2016-02-26, 2506, 09:43:00, 09:51:00,
C1.0, 2016-02-18, 2497, 04:01:00, 04:10:00,
C1.0, 2016-02-17, 2497, 10:59:00, 11:04:00,
C1.0, 2016-02-17, 2497, 04:20:00, 04:23:00,
C1.0, 2016-02-14, 2497, 08:30:00, 08:33:00,
C1.0, 2016-02-06, 2494, 19:33:00, 19:38:00,
C1.0, 2016-02-04, 2494, 02:11:00, 02:15:00,
C1.0, 2016-02-03, 2492, 12:03:00, 12:23:00,
C1.0, 2016-01-27, 2489, 13:26:00, 13:30:00,
C1.0, 2016-01-25, 2489, 10:27:00, 10:33:00,
C1.0, 2016-01-15, 2480, 12:10:00, 12:16:00,
C1.0, 2016-01-07, 2480, 06:11:00, 06:17:00,
C1.0, 2015-12-25, 2473, 12:33:00, 12:45:00,
C1.0, 2015-12-21, 2472, 09:00:00, 09:04:00,
C1.0, 2015-12-14, 2469, 00:06:00, 00:14:00,
C1.0, 2015-12-12, 2470, 15:19:00, 15:22:00,
C1.0, 2015-12-08, 2463, 17:05:00, 17:24:00,
C1.0, 2015-12-07, 2463, 22:39:00, 22:50:00,
C1.0, 2015-12-04, 2463, 05:26:00, 05:34:00,
C1.0, 2015-12-01, 2458, 04:03:00, 04:08:00,
C1.0, 2015-11-30, 2458, 16:52:00, 17:06:00,
C1.0, 2015-11-21, 2454, 19:38:00, 19:42:00,
C1.0, 2015-11-06, 2448, 09:00:00, 09:19:00,
C1.0, 2015-11-04, 2448, 22:48:00, 22:53:00,
C1.0, 2015-11-04, 2445, 04:50:00, 04:56:00,
C1.0, 2015-11-01, 2443, 12:55:00, 12:59:00,
C1.0, 2015-10-29, 2443, 17:49:00, 17:52:00,
C1.0, 2015-10-29, 2443, 04:32:00, 04:39:00,
C1.0, 2015-10-29, 2443, 02:12:00, 02:15:00,
C1.0, 2015-10-27, 2436, 05:05:00, 05:14:00,
C1.0, 2015-10-24, 2434, 14:29:00, 15:16:00,
C1.0, 2015-10-20, 2436, 07:24:00, 07:27:00,
C1.0, 2015-10-20, 2436, 04:58:00, 05:01:00,
C1.0, 2015-10-17, 2434, 16:53:00, 16:56:00,
C1.0, 2015-10-13, 2434, 07:53:00, 08:14:00,
B9.9, 2017-05-01, 2652, 03:55:00, 04:01:00,
B9.9, 2015-11-04, 2445, 01:24:00, 01:27:00,
B9.9, 2015-10-15, 2434, 06:22:00, 06:30:00,
B9.8, 2017-04-07, 2645, 08:49:00, 08:55:00,
B9.8, 2016-08-08, 2574, 14:53:00, 15:13:00,
B9.8, 2015-11-03, 2443, 21:51:00, 21:56:00,
B9.8, 2015-09-25, 2422, 16:58:00, 17:01:00,
B9.7, 2016-09-22, 2595, 06:44:00, 06:50:00,
B9.7, 2016-06-11, 2552, 20:50:00, 20:57:00,
B9.7, 2015-08-25, 2403, 15:37:00, 15:40:00,
B9.6, 2017-04-22, 2651, 00:22:00, 00:34:00,
B9.6, 2016-07-24, 2567, 11:56:00, 12:02:00,
B9.6, 2016-04-17, 2529, 00:53:00, 00:57:00,
B9.6, 2016-01-20, 2487, 11:15:00, 11:19:00,
B9.6, 2015-11-04, 2445, 09:21:00, 09:25:00,
B9.6, 2015-09-25, 2422, 02:17:00, 02:23:00,
B9.6, 2015-09-14, 2415, 17:36:00, 17:43:00,
B9.5, 2015-08-28, 2403, 17:15:00, 17:19:00,
B9.5, 2015-08-25, 2403, 13:56:00, 14:02:00,
B9.4, 2016-10-14, 2599, 11:19:00, 11:26:00,
B9.4, 2016-05-09, 2541, 05:11:00, 05:23:00,
B9.4, 2015-10-16, 2434, 04:45:00, 04:49:00,
B9.3, 2017-02-27, 2641, 20:07:00, 20:17:00,
B9.3, 2016-06-13, 2554, 04:04:00, 04:15:00,
B9.3, 2015-09-16, 2415, 13:38:00, 13:41:00,
B9.2, 2017-05-27, 2659, 17:47:00, 18:30:00,
B9.2, 2016-09-10, 2591, 18:53:00, 19:22:00,
B9.2, 2016-09-04, 2585, 18:04:00, 18:17:00,
B9.2, 2016-07-24, 2567, 11:35:00, 11:41:00,
B9.2, 2016-06-13, 2552, 04:35:00, 04:49:00,
B9.2, 2015-11-01, 2443, 10:18:00, 10:21:00,
B9.2, 2015-10-25, 2434, 04:57:00, 05:16:00,
B9.2, 2015-08-25, 2403, 02:00:00, 02:03:00,
B9.1, 2017-04-05, 2645, 17:34:00, 17:40:00,
B9.1, 2017-03-28, 2645, 00:50:00, 00:53:00,
B9.1, 2016-09-02, 2585, 04:38:00, 04:41:00,
B9.1, 2016-07-22, 2567, 11:14:00, 11:31:00,
B9.1, 2016-07-08, 2564, 02:34:00, 03:16:00,
B9.1, 2016-02-09, 2494, 19:26:00, 19:39:00,
B9.1, 2015-09-20, 2420, 13:49:00, 13:54:00,
B9.1, 2015-09-18, 2415, 13:05:00, 13:13:00,
B9.1, 2015-08-29, 2403, 03:01:00, 03:04:00,
B9.1, 2015-08-25, 2403, 22:01:00, 22:17:00,
B9.0, 2016-05-15, 2544, 03:40:00, 03:45:00,
B9.0, 2016-05-14, 2544, 09:39:00, 09:52:00,
B9.0, 2015-10-23, 2436, 14:28:00, 14:35:00,
B8.9, 2016-09-02, 2585, 18:46:00, 18:49:00,
B8.8, 2016-08-06, 2571, 23:58:00, 00:28:00,
B8.8, 2016-08-05, 2572, 00:39:00, 00:44:00,
B8.8, 2015-10-14, 2434, 07:48:00, 07:53:00,
B8.8, 2015-09-23, 2422, 17:35:00, 17:42:00,
B8.7, 2015-10-14, 2434, 23:33:00, 23:39:00,
B8.7, 2015-09-15, 2415, 00:18:00, 00:21:00,
B8.7, 2015-08-25, 2403, 03:26:00, 03:30:00,
B8.6, 2016-10-14, 2602, 08:53:00, 09:00:00,
B8.6, 2016-04-13, 2529, 07:35:00, 07:57:00,
B8.6, 2016-01-15, 2480, 19:56:00, 20:02:00,
B8.6, 2015-09-26, 2422, 06:33:00, 06:38:00,
B8.6, 2015-08-25, 2403, 19:47:00, 19:50:00,
B8.5, 2017-01-25, 2629, 21:22:00, 21:28:00,
B8.5, 2015-10-20, 2436, 13:23:00, 13:26:00,
B8.5, 2015-10-03, 2427, 23:07:00, 23:12:00,
B8.5, 2015-09-17, 2415, 15:50:00, 15:55:00,
B8.5, 2015-08-25, 2403, 05:46:00, 05:50:00,
B8.4, 2017-04-06, 2645, 07:23:00, 07:32:00,
B8.4, 2017-03-27, 2645, 20:37:00, 20:47:00,
B8.4, 2017-01-21, 2628, 07:02:00, 07:05:00,
B8.4, 2016-05-14, 2543, 17:37:00, 17:41:00,
B8.4, 2016-04-17, 2529, 16:48:00, 17:02:00,
B8.4, 2016-01-20, 2484, 09:11:00, 09:18:00,
B8.4, 2015-09-25, 2422, 22:30:00, 22:38:00,
B8.3, 2016-12-26, 2621, 20:56:00, 21:01:00,
B8.3, 2016-09-08, 2585, 04:43:00, 04:47:00,
B8.3, 2016-04-15, 2529, 09:25:00, 09:28:00,
B8.3, 2015-10-16, 2434, 09:58:00, 10:02:00,
B8.2, 2016-09-08, 2585, 19:13:00, 19:17:00,
B8.2, 2016-05-11, 2542, 14:14:00, 14:22:00,
B8.2, 2015-08-25, 2403, 02:12:00, 02:18:00,
B8.1, 2017-04-01, 2645, 15:23:00, 15:49:00,
B8.1, 2016-08-16, 2578, 08:08:00, 08:18:00,
B8.1, 2016-05-09, 2543, 23:33:00, 23:43:00,
B8.0, 2017-05-28, 2659, 10:46:00, 10:51:00,
B8.0, 2017-04-20, 2651, 06:49:00, 06:56:00,
B8.0, 2015-10-21, 2436, 01:46:00, 01:49:00,
B8.0, 2015-10-15, 2434, 03:38:00, 03:45:00,
B8.0, 2015-09-17, 2415, 22:33:00, 22:37:00,
B7.9, 2016-09-09, 2588, 03:02:00, 03:23:00,
B7.9, 2016-07-15, 2567, 16:42:00, 16:45:00,
B7.9, 2016-04-17, 2529, 03:57:00, 04:01:00,
B7.9, 2015-10-03, 2427, 20:26:00, 20:32:00,
B7.9, 2015-09-17, 2415, 12:22:00, 12:28:00,
B7.8, 2016-11-29, 2615, 15:47:00, 15:56:00,
B7.8, 2016-08-08, 2571, 01:19:00, 01:23:00,
B7.8, 2016-07-23, 2567, 23:06:00, 23:11:00,
B7.8, 2015-10-16, 2434, 19:49:00, 19:52:00,
B7.7, 2017-02-28, 2641, 11:42:00, 11:51:00,
B7.7, 2016-07-15, 2567, 17:12:00, 17:15:00,
B7.7, 2016-04-15, 2529, 12:37:00, 12:42:00,
B7.7, 2016-04-15, 2529, 06:14:00, 06:26:00,
B7.7, 2015-10-24, 2436, 13:20:00, 13:30:00,
B7.7, 2015-09-15, 2415, 01:55:00, 01:59:00,
B7.6, 2017-01-21, 2628, 03:00:00, 03:05:00,
B7.6, 2016-07-22, 2567, 23:09:00, 23:15:00,
B7.6, 2016-07-08, 2564, 23:05:00, 23:11:00,
B7.6, 2016-05-14, 2542, 07:44:00, 07:52:00,
B7.6, 2015-10-20, 2436, 12:26:00, 12:29:00,
B7.6, 2015-10-14, 2432, 15:46:00, 15:54:00,
B7.6, 2015-08-25, 2403, 01:40:00, 01:46:00,
B7.5, 2017-04-17, 2651, 21:21:00, 21:42:00,
B7.5, 2016-11-29, 2615, 16:18:00, 16:23:00,
B7.5, 2016-10-16, 2599, 11:27:00, 11:35:00,
B7.5, 2016-09-28, 2597, 17:02:00, 17:07:00,
B7.5, 2015-11-05, 2443, 19:57:00, 20:09:00,
B7.4, 2017-04-01, 2644, 18:07:00, 18:10:00,
B7.4, 2016-07-15, 2567, 05:06:00, 05:12:00,
B7.4, 2016-05-13, 2544, 16:16:00, 16:21:00,
B7.2, 2017-05-27, 2659, 22:08:00, 22:11:00,
B7.2, 2017-04-19, 2651, 16:32:00, 16:36:00,
B7.2, 2016-09-21, 2595, 14:29:00, 14:38:00,
B7.2, 2016-09-21, 2593, 13:34:00, 13:38:00,
B7.2, 2016-04-14, 2531, 01:50:00, 01:54:00,
B7.2, 2015-10-26, 2436, 01:00:00, 01:12:00,
B7.2, 2015-10-04, 2427, 16:13:00, 16:18:00,
B7.1, 2017-04-17, 2651, 07:13:00, 07:21:00,
B7.1, 2017-01-21, 2628, 02:28:00, 02:31:00,
B7.1, 2016-09-03, 2585, 05:25:00, 05:30:00,
B7.1, 2016-07-15, 2567, 18:30:00, 18:33:00,
B7.1, 2015-08-27, 2403, 17:10:00, 17:34:00,
B7.0, 2017-03-28, 2645, 09:01:00, 09:10:00,
B7.0, 2016-08-12, 2574, 06:50:00, 06:58:00,
B7.0, 2016-05-17, 2542, 07:50:00, 07:54:00,
B7.0, 2016-04-14, 2529, 21:45:00, 21:52:00,
B6.9, 2017-04-18, 2651, 06:31:00, 06:40:00,
B6.9, 2016-09-24, 2597, 18:10:00, 18:16:00,
B6.9, 2016-04-30, 2537, 20:04:00, 20:22:00,
B6.9, 2015-09-23, 2422, 12:56:00, 13:00:00,
B6.8, 2017-03-27, 2644, 23:41:00, 23:45:00,
B6.8, 2017-02-22, 2638, 01:40:00, 01:51:00,
B6.8, 2016-09-22, 2595, 01:17:00, 01:23:00,
B6.8, 2016-09-18, 2592, 10:41:00, 11:00:00,
B6.8, 2016-07-22, 2567, 08:30:00, 08:34:00,
B6.8, 2016-05-09, 2542, 17:39:00, 17:48:00,
B6.8, 2016-04-15, 2529, 08:11:00, 08:15:00,
B6.8, 2015-10-25, 2434, 05:48:00, 05:55:00,
B6.7, 2017-05-28, 2659, 06:34:00, 06:39:00,
B6.7, 2016-09-27, 2597, 17:57:00, 18:03:00,
B6.7, 2016-09-22, 2595, 05:10:00, 05:15:00,
B6.7, 2016-02-09, 2492, 12:24:00, 12:28:00,
B6.7, 2015-09-11, 2415, 12:52:00, 13:12:00,
B6.6, 2017-05-28, 2659, 11:39:00, 11:47:00,
B6.6, 2017-03-28, 2644, 03:52:00, 03:57:00,
B6.6, 2017-03-28, 2644, 01:52:00, 02:00:00,
B6.6, 2016-09-07, 2585, 10:35:00, 10:40:00,
B6.6, 2016-08-26, 2579, 06:50:00, 07:02:00,
B6.6, 2016-07-24, 2567, 03:48:00, 03:52:00,
B6.6, 2016-04-19, 2529, 12:49:00, 12:57:00,
B6.6, 2016-01-20, 2484, 04:40:00, 04:46:00,
B6.6, 2015-09-24, 2421, 04:47:00, 04:51:00,
B6.5, 2017-03-29, 2644, 23:19:00, 23:32:00,
B6.5, 2017-01-25, 2629, 15:19:00, 15:31:00,
B6.5, 2016-09-22, 2595, 00:55:00, 00:59:00,
B6.5, 2015-09-17, 2415, 11:11:00, 11:15:00,
B6.4, 2017-04-01, 2645, 04:12:00, 04:15:00,
B6.4, 2016-09-05, 2585, 09:07:00, 09:12:00,
B6.4, 2016-09-03, 2585, 00:42:00, 01:03:00,
B6.4, 2015-10-13, 2434, 23:34:00, 23:40:00,
B6.4, 2015-09-24, 2422, 03:02:00, 03:14:00,
B6.4, 2015-09-13, 2414, 04:15:00, 04:20:00,
B6.3, 2016-07-08, 2562, 06:09:00, 06:24:00,
B6.3, 2016-05-14, 2543, 10:52:00, 10:56:00,
B6.3, 2015-09-26, 2422, 06:11:00, 06:14:00,
B6.3, 2015-09-23, 2422, 22:27:00, 22:32:00,
B6.3, 2015-09-21, 2420, 03:29:00, 03:33:00,
B6.2, 2017-04-21, 2651, 12:06:00, 12:16:00,
B6.2, 2016-09-23, 2592, 04:38:00, 05:25:00,
B6.2, 2016-07-23, 2567, 21:53:00, 22:00:00,
B6.2, 2016-04-30, 2537, 07:40:00, 07:47:00,
B6.2, 2016-02-09, 2498, 21:51:00, 22:05:00,
B6.2, 2015-10-15, 2434, 10:11:00, 10:15:00,
B6.1, 2017-02-09, 2635, 05:31:00, 05:42:00,
B6.1, 2017-02-09, 2635, 02:56:00, 03:09:00,
B6.1, 2016-11-15, 2610, 00:28:00, 00:35:00,
B6.1, 2016-10-04, 2598, 03:53:00, 04:09:00,
B6.1, 2016-05-17, 2544, 07:38:00, 07:42:00,
B6.1, 2016-05-15, 2544, 14:44:00, 14:48:00,
B6.1, 2016-05-14, 2543, 06:18:00, 06:22:00,
B6.1, 2015-09-24, 2421, 11:31:00, 11:35:00,
B6.1, 2015-09-13, 2414, 05:20:00, 05:24:00,
B6.0, 2016-11-22, 2612, 23:45:00, 00:10:00,
B6.0, 2016-05-16, 2545, 04:38:00, 04:42:00,
B6.0, 2016-04-13, 2529, 11:53:00, 11:58:00,
B6.0, 2015-09-15, 2415, 05:56:00, 06:00:00,
B5.9, 2016-11-29, 2615, 18:58:00, 19:01:00,
B5.9, 2016-11-29, 2615, 03:33:00, 03:40:00,
B5.9, 2016-09-02, 2585, 13:36:00, 13:39:00,
B5.9, 2016-09-02, 2585, 06:16:00, 06:20:00,
B5.9, 2016-07-15, 2565, 03:51:00, 03:54:00,
B5.9, 2016-06-11, 2552, 15:13:00, 15:18:00,
B5.9, 2015-10-23, 2436, 06:36:00, 06:41:00,
B5.9, 2015-10-15, 2434, 08:29:00, 09:04:00,
B5.9, 2015-09-24, 2421, 18:49:00, 18:54:00,
B5.8, 2017-02-23, 2638, 20:17:00, 20:24:00,
B5.8, 2016-09-01, 2585, 02:27:00, 02:31:00,
B5.8, 2016-08-26, 2579, 01:28:00, 01:37:00,
B5.8, 2016-05-14, 2543, 00:51:00, 00:54:00,
B5.8, 2015-10-24, 2434, 12:26:00, 12:29:00,
B5.8, 2015-09-19, 2415, 11:14:00, 11:20:00,
B5.8, 2015-09-14, 2415, 22:14:00, 22:19:00,
B5.7, 2017-04-17, 2651, 18:46:00, 18:53:00,
B5.7, 2016-08-10, 2574, 01:49:00, 02:12:00,
B5.7, 2016-05-11, 2542, 10:56:00, 10:59:00,
B5.7, 2016-04-30, 2539, 14:42:00, 14:51:00,
B5.7, 2016-04-18, 2529, 14:44:00, 14:52:00,
B5.7, 2015-09-20, 2415, 12:25:00, 12:28:00,
B5.7, 2015-09-14, 2415, 00:37:00, 00:42:00,
B5.6, 2017-04-18, 2651, 05:31:00, 05:37:00,
B5.6, 2016-10-05, 2598, 01:10:00, 01:14:00,
B5.6, 2016-08-30, 2585, 02:40:00, 02:45:00,
B5.6, 2016-08-11, 2574, 08:34:00, 08:38:00,
B5.6, 2016-07-22, 2567, 22:26:00, 22:30:00,
B5.6, 2016-02-09, 2492, 17:44:00, 17:47:00,
B5.6, 2016-02-09, 2492, 11:58:00, 12:06:00,
B5.6, 2015-11-08, 2449, 02:32:00, 02:35:00,
B5.5, 2017-04-06, 2645, 17:21:00, 17:27:00,
B5.5, 2017-03-27, 2644, 19:44:00, 20:02:00,
B5.5, 2016-11-29, 2615, 05:40:00, 05:45:00,
B5.5, 2016-08-07, 2571, 13:10:00, 13:13:00,
B5.5, 2016-08-07, 2571, 01:54:00, 01:58:00,
B5.5, 2016-07-08, 2564, 19:45:00, 19:50:00,
B5.5, 2015-09-15, 2415, 01:16:00, 01:20:00,
B5.4, 2017-04-19, 2651, 10:01:00, 10:05:00,
B5.4, 2017-02-20, 2638, 13:43:00, 13:48:00,
B5.4, 2017-01-27, 2627, 10:38:00, 10:45:00,
B5.4, 2017-01-21, 2628, 02:10:00, 02:17:00,
B5.4, 2016-11-29, 2615, 10:08:00, 10:14:00,
B5.4, 2016-04-19, 2529, 12:18:00, 12:34:00,
B5.4, 2015-09-24, 2422, 22:54:00, 23:06:00,
B5.4, 2015-09-23, 2422, 15:39:00, 15:43:00,
B5.4, 2015-09-21, 2420, 18:52:00, 18:53:00,
B5.3, 2017-01-20, 2628, 10:37:00, 10:46:00,
B5.3, 2016-12-04, 2615, 01:53:00, 01:57:00,
B5.3, 2016-10-12, 2601, 05:34:00, 05:37:00,
B5.3, 2016-10-08, 2598, 02:15:00, 02:19:00,
B5.3, 2016-09-28, 2597, 17:43:00, 17:46:00,
B5.3, 2016-09-19, 2592, 07:32:00, 07:42:00,
B5.3, 2016-09-10, 2585, 08:18:00, 08:23:00,
B5.3, 2016-07-15, 2567, 14:23:00, 14:26:00,
B5.3, 2016-05-12, 2544, 12:20:00, 12:23:00,
B5.3, 2015-09-21, 2415, 14:47:00, 14:50:00,
B5.2, 2017-01-24, 2629, 17:47:00, 17:55:00,
B5.2, 2016-08-05, 2572, 02:19:00, 02:24:00,
B5.2, 2016-04-30, 2536, 12:10:00, 12:17:00,
B5.2, 2016-01-20, 2484, 08:45:00, 08:49:00,
B5.1, 2017-04-01, 2645, 03:47:00, 03:51:00,
B5.1, 2017-01-21, 2628, 14:08:00, 14:11:00,
B5.1, 2017-01-21, 2628, 09:12:00, 09:17:00,
B5.1, 2016-10-09, 2598, 18:58:00, 19:03:00,
B5.1, 2016-09-25, 2597, 23:25:00, 23:37:00,
B5.1, 2016-09-08, 2585, 06:04:00, 06:09:00,
B5.1, 2016-05-16, 2544, 15:47:00, 15:50:00,
B5.1, 2016-04-18, 2529, 17:55:00, 18:00:00,
B5.1, 2016-04-14, 2529, 20:16:00, 20:29:00,
B5.1, 2016-01-15, 2480, 13:25:00, 13:28:00,
B5.1, 2015-10-07, 2427, 07:52:00, 07:58:00,
B5.1, 2015-09-24, 2421, 07:58:00, 08:01:00,
B5.0, 2017-04-01, 2647, 01:38:00, 01:47:00,
B5.0, 2017-03-31, 2645, 03:39:00, 03:46:00,
B5.0, 2016-09-26, 2597, 06:43:00, 06:46:00,
B5.0, 2016-06-13, 2554, 02:49:00, 02:53:00,
B5.0, 2016-04-18, 2529, 13:18:00, 13:34:00,
B5.0, 2015-09-02, 2407, 07:50:00, 07:55:00,
B4.9, 2017-04-08, 2645, 19:18:00, 19:29:00,
B4.9, 2017-02-22, 2638, 21:07:00, 21:13:00,
B4.9, 2016-10-14, 2602, 13:28:00, 13:31:00,
B4.9, 2016-06-13, 2552, 01:45:00, 01:53:00,
B4.9, 2016-06-10, 2552, 20:48:00, 21:04:00,
B4.9, 2016-05-13, 2544, 22:33:00, 22:38:00,
B4.9, 2016-04-14, 2529, 23:00:00, 23:02:00,
B4.8, 2017-04-10, 2650, 18:16:00, 18:23:00,
B4.8, 2017-04-06, 2645, 21:06:00, 21:16:00,
B4.8, 2017-04-02, 2644, 00:26:00, 00:29:00,
B4.8, 2017-02-23, 2638, 10:42:00, 10:54:00,
B4.8, 2016-10-02, 2598, 04:49:00, 04:59:00,
B4.8, 2016-09-10, 2591, 18:54:00, 18:58:00,
B4.8, 2016-08-12, 2574, 11:53:00, 12:22:00,
B4.8, 2016-07-24, 2567, 22:54:00, 22:58:00,
B4.8, 2016-04-30, 2537, 16:51:00, 17:12:00,
B4.8, 2016-04-14, 2529, 14:37:00, 14:59:00,
B4.8, 2016-01-20, 2487, 17:04:00, 17:09:00,
B4.7, 2017-05-05, 2655, 04:18:00, 04:37:00,
B4.7, 2017-04-06, 2645, 22:59:00, 23:04:00,
B4.7, 2017-01-25, 2629, 02:15:00, 02:20:00,
B4.7, 2016-11-30, 2615, 02:48:00, 02:53:00,
B4.7, 2016-11-28, 2611, 03:35:00, 03:39:00,
B4.7, 2016-09-22, 2595, 09:47:00, 10:26:00,
B4.7, 2016-09-22, 2595, 03:23:00, 03:27:00,
B4.7, 2016-08-10, 2574, 11:21:00, 11:25:00,
B4.7, 2016-07-08, 2561, 17:31:00, 17:36:00,
B4.7, 2016-05-16, 2545, 05:34:00, 05:38:00,
B4.7, 2016-05-12, 2542, 16:06:00, 16:10:00,
B4.7, 2016-04-30, 2536, 12:32:00, 12:35:00,
B4.7, 2016-04-30, 2535, 04:29:00, 04:34:00,
B4.7, 2015-09-22, 2420, 15:40:00, 15:44:00,
B4.6, 2017-01-25, 2629, 16:48:00, 16:53:00,
B4.6, 2016-10-10, 2598, 01:17:00, 01:25:00,
B4.6, 2016-09-22, 2595, 03:42:00, 04:08:00,
B4.6, 2016-09-22, 2595, 00:24:00, 00:29:00,
B4.6, 2016-06-11, 2552, 08:18:00, 08:23:00,
B4.6, 2016-05-16, 2544, 22:17:00, 22:21:00,
B4.6, 2016-05-13, 2544, 20:47:00, 20:50:00,
B4.6, 2015-10-13, 2434, 13:12:00, 13:16:00,
B4.5, 2017-04-26, 2653, 17:36:00, 17:48:00,
B4.5, 2017-03-29, 2645, 01:26:00, 01:40:00,
